frame,rot_amp,lerp_amp
0,0.25073132,0.25073132
1,0.25073132,0.24289595
2,0.25073129,0.23506057
3,0.25073129,0.22722523
4,0.25073129,0.21938989
5,0.25073132,0.21155453
6,0.25073129,0.20371918
7,0.25073129,0.19588384
8,0.25073129,0.18804848
9,0.25073129,0.18021312
10,0.25073129,0.17237777
11,0.25073132,0.16454242
12,0.25073129,0.15670705
13,0.25073132,0.14887172
14,0.25073129,0.14103636
15,0.25073129,0.13320100
16,0.25073132,0.12536566
17,0.25073132,0.11753029
18,0.25073129,0.10969494
19,0.25073129,0.10185959
20,0.25073129,0.09402424
21,0.25073132,0.08618888
22,0.25073129,0.07835352
23,0.25073129,0.07051818
24,0.25073129,0.06268283
25,0.25073129,0.05484747
26,0.25073129,0.04701212
27,0.25073132,0.03917676
28,0.25073129,0.03134141
29,0.25073132,0.02350606
30,0.25073129,0.01567071
31,0.25073129,0.00783535
32,0.25073132,0.00000000
33,0.25073132,0.00783535
34,0.25073129,0.01567071
35,0.25073129,0.02350606
36,0.25073129,0.03134141
37,0.25073132,0.03917676
38,0.25073129,0.04701212
39,0.25073129,0.05484747
40,0.25073129,0.06268283
41,0.25073129,0.07051818
42,0.25073129,0.07835352
43,0.25073132,0.08618888
44,0.25073129,0.09402424
45,0.25073132,0.10185959
46,0.25073129,0.10969494
47,0.25073129,0.11753029
48,0.25073132,0.12536566
49,0.25073132,0.13320100
50,0.25073129,0.14103636
51,0.25073129,0.14887172
52,0.25073129,0.15670705
53,0.25073132,0.16454242
54,0.25073129,0.17237777
55,0.25073129,0.18021312
56,0.25073129,0.18804848
57,0.25073129,0.19588384
58,0.25073129,0.20371918
59,0.25073132,0.21155453
60,0.25073129,0.21938989
61,0.25073132,0.22722523
62,0.25073129,0.23506057
63,0.25073129,0.24289595
