frame,t,cond,rms_contrast,sharp,d_A,d_B,spec_dev
0,0.0,lerp,0.07365893401104148,0.009711249329139898,3.513682310817858e-32,0.04569699455847928,0.1759119265747997
1,0.0159,lerp,0.07992692512250943,0.012329251093913246,0.017382414392533702,0.019691614532083457,0.13407111204822228
2,0.0317,lerp,0.07911065496379514,0.011799738774290459,0.01593164819359376,0.023623660455905155,0.16442797442323503
3,0.0476,lerp,0.09147431366963382,0.01525693351572825,0.014867072633936128,0.029608753759842843,0.13492753438685107
4,0.0635,lerp,0.09961400494598897,0.01808577594304249,0.01615909903504326,0.0327388645597621,0.1981741141625691
5,0.0794,lerp,0.10682981601508794,0.020843671729707428,0.026539887946361793,0.025248082187572886,0.26319376753616164
6,0.0952,lerp,0.09750927494240158,0.015746090628002724,0.034677608484832936,0.020049486151263608,0.26927328694734
7,0.1111,lerp,0.1029181800665499,0.017400246121461585,0.03832836528526698,0.020976545146813727,0.29449257361633896
8,0.127,lerp,0.10907961856187336,0.019993766836570066,0.04136820744200778,0.022002837156468218,0.3325003400208748
9,0.1429,lerp,0.09900304980996048,0.01643062036779366,0.024362388879904412,0.02585094018364414,0.31264584368197024
10,0.1587,lerp,0.10827844580460438,0.01877685547838726,0.032765809390584884,0.024767768436414664,0.3598080296236474
11,0.1746,lerp,0.10796208943800704,0.016994722689184456,0.037057065213616305,0.02261933635935152,0.38380654081950927
12,0.1905,lerp,0.10217813592100973,0.014348338209229409,0.017883969979010948,0.03393142068479636,0.4029077190851985
13,0.2063,lerp,0.09488693933752691,0.012045802253477594,0.016568567116899184,0.032362983006007255,0.4093668881436322
14,0.2222,lerp,0.10118737566492013,0.013590608396825913,0.01650766797007881,0.03667636917609049,0.4213588125361654
15,0.2381,lerp,0.10018016388373334,0.0132422872982016,0.01763802711439717,0.03420671914160397,0.41481659229302
16,0.254,lerp,0.11529369271808067,0.01704685060022023,0.03537610905419281,0.024478917903094373,0.47506497818528515
17,0.2698,lerp,0.12496698140068108,0.018937641752215042,0.03244463115926974,0.029316321944111337,0.5481893856811496
18,0.2857,lerp,0.11379252841977092,0.016352674483348786,0.05657570410750285,0.02304916499318312,0.4773228970723284
19,0.3016,lerp,0.10667240258468406,0.013874757441484921,0.057423271228274876,0.020919142764039434,0.43366131587577356
20,0.3175,lerp,0.11112282911441272,0.015779687265211912,0.03785281912935165,0.02226970327204039,0.4515416554440936
21,0.3333,lerp,0.11806296667721593,0.018308849713570458,0.05921761256879089,0.023555810632072925,0.5162682923262649
22,0.3492,lerp,0.12240978949726215,0.02025945322612434,0.03815231530152684,0.02549724249340781,0.531181281735815
23,0.3651,lerp,0.12585782276869986,0.020851459778031035,0.027891432589475056,0.0332382398254921,0.5624943196785572
24,0.381,lerp,0.1322715961355158,0.024383945351813888,0.03189329640206572,0.03285326318414428,0.5836960250378797
25,0.3968,lerp,0.1251451795557893,0.02190873079507533,0.03999695030450428,0.026672248438422294,0.5382113446152544
26,0.4127,lerp,0.12401764224945258,0.021293484715103433,0.03885958388194572,0.026380597207000384,0.5298217369910916
27,0.4286,lerp,0.12224178871587672,0.01952298638885259,0.029391596672143028,0.0306966192722608,0.5131025502584705
28,0.4444,lerp,0.1164749827967677,0.017335619958728614,0.03751378390478331,0.024947510074528764,0.47457719611923854
29,0.4603,lerp,0.10664548572021113,0.015702732586055642,0.022384743147092972,0.03232240690315398,0.41470214674495703
30,0.4762,lerp,0.12088945056769121,0.019229600446957724,0.030106395786162452,0.030842396415005722,0.46376596264183695
31,0.4921,lerp,0.10588169331385444,0.015809810153622608,0.022935012436838112,0.030704045556446475,0.418894318060003
32,0.5079,lerp,0.09220974681046686,0.011619622832026015,0.02530162888552588,0.023807336493082105,0.43621581716914287
33,0.5238,lerp,0.10733818284951002,0.01672740669515496,0.028827982068043417,0.026380609561844973,0.4505843835187639
34,0.5397,lerp,0.1227367292994175,0.02137655002945049,0.031085994544448232,0.03118591226575142,0.5666431691017966
35,0.5556,lerp,0.09587884534094941,0.01366350697570974,0.01726671879243153,0.03399428247305193,0.506095982111183
36,0.5714,lerp,0.09484703436304388,0.013092228519881828,0.02199823685630195,0.027095030220839502,0.4911344113657586
37,0.5873,lerp,0.1174154572810895,0.02044443953644973,0.02009672168791997,0.04482813146875215,0.5360356192574456
38,0.6032,lerp,0.12467631278794934,0.022751173592812732,0.03576001722952322,0.02915243143830855,0.558019998913028
39,0.619,lerp,0.12164448128840942,0.022719129261652815,0.030342178046136807,0.031260318319215226,0.5361567642727367
40,0.6349,lerp,0.11534378485612792,0.020413478763196068,0.03861501840342183,0.02495873859509952,0.49657409395967456
41,0.6508,lerp,0.11640633063949526,0.02089812456656564,0.026777339529972858,0.03301899118550147,0.5061728765359601
42,0.6667,lerp,0.13547946719984794,0.02802933716057344,0.03281668372623841,0.03627479273396353,0.6365072232194442
43,0.6825,lerp,0.12630576073540156,0.024530174140629007,0.028380252144417053,0.03547106480131013,0.5741503548198694
44,0.6984,lerp,0.11510778529041354,0.01984545468892165,0.020242131797836252,0.045756904693740025,0.5271782179247915
45,0.7143,lerp,0.12615889268332336,0.025720933594832126,0.03772712423443165,0.029163050554286522,0.5778648744154238
46,0.7302,lerp,0.12402799793154463,0.024646688876108405,0.032121467602871,0.03125917713477138,0.5551981650276494
47,0.746,lerp,0.11857051798156616,0.021598295783066906,0.03099969667916327,0.03040725224096974,0.5313130415547517
48,0.7619,lerp,0.11668197621103502,0.021475868959377368,0.03452442617723363,0.026667262738757566,0.4970233082291126
49,0.7778,lerp,0.09993011755342766,0.01620879472752081,0.01887931083483035,0.034080871910883506,0.4472854106813678
50,0.7937,lerp,0.12273481876786495,0.02574979841436512,0.05142055942664622,0.024731714314863748,0.4752597910415726
51,0.8095,lerp,0.10781144061341084,0.019885771260440027,0.04299879608973941,0.022289368106879797,0.4245481382409289
52,0.8254,lerp,0.10045396124589283,0.016839203090159915,0.03778619663258439,0.021336570978343707,0.39114524534528766
53,0.8413,lerp,0.10263024970312541,0.01831324423528466,0.0532924970280538,0.021215648103828928,0.35769111304245305
54,0.8571,lerp,0.10525852815233512,0.019295437495260186,0.03700988283769803,0.022291703819494982,0.33152812081640753
55,0.873,lerp,0.10596284894736921,0.01898281884092822,0.026251856580531953,0.026905949897542948,0.3257400336572855
56,0.8889,lerp,0.11170799538945243,0.021889479040824143,0.04779043631443572,0.021180485635123716,0.327734374021933
57,0.9048,lerp,0.10774426178689402,0.021369200523148085,0.05300628411617563,0.019737982869463072,0.29631948015631915
58,0.9206,lerp,0.10670934059110693,0.02031069925040846,0.057990209142381066,0.01912598785575932,0.27893480198408643
59,0.9365,lerp,0.0877516494504568,0.013584380360156875,0.057690502605381035,0.015944100732293423,0.18785505166417882
60,0.9524,lerp,0.09168372651417353,0.015947599918182884,0.056737948700605036,0.015468331552495674,0.16466103865534956
61,0.9683,lerp,0.10534899941472993,0.019873137871441404,0.043804213077055974,0.013239314069347941,0.21185181040504578
62,0.9841,lerp,0.09187186041597951,0.015860504465007186,0.03797490195926701,0.006654997063402379,0.09968124581389774
63,1.0,lerp,0.10182274628833647,0.019955256918470166,0.04569699455847922,3.952112577536768e-33,0.17591192657479898
0,0.0,phase,0.07365893401104147,0.009711249329139894,0.0,0.04569699455847922,0.17591192657479898
1,0.0159,phase,0.07944706647366005,0.012201334017809672,0.01832633815953029,0.01916138594783186,0.1399756620014743
2,0.0317,phase,0.07973146742519241,0.012049492511890842,0.015445927055640173,0.02439482004341491,0.16463730864052015
3,0.0476,phase,0.0883733156393097,0.014237679669234482,0.01499151748968574,0.02841692612307857,0.13378180622530292
4,0.0635,phase,0.09496335481494395,0.016542622724513272,0.014609140736416263,0.033888436333409336,0.18618114464620242
5,0.0794,phase,0.10772418699012415,0.021514704810905547,0.03027340725561563,0.024063606102529358,0.2633755815807287
6,0.0952,phase,0.10519898501588969,0.01894217989717423,0.034631012956846854,0.02224735703899177,0.27119611466013965
7,0.1111,phase,0.09516174618309078,0.015494173476394976,0.03204555228594269,0.020549618484563364,0.2813209964059319
8,0.127,phase,0.10778338713458396,0.02027278605401997,0.03339823642535421,0.022926415086696614,0.3281209864767169
9,0.1429,phase,0.0977443764927115,0.015954910558756023,0.015464572741837712,0.037353891938609704,0.32069721173265064
10,0.1587,phase,0.10092606962490078,0.01635709517143084,0.035124902444750514,0.021461341274784287,0.35331021184673106
11,0.1746,phase,0.09798929822068385,0.014449988653839804,0.026204813554849007,0.02343194820146459,0.3755745376189878
12,0.1905,phase,0.08746464781543958,0.011131477055037224,0.01364653334678194,0.03468748821194938,0.37855074094030944
13,0.2063,phase,0.08781906201738973,0.010902529420227828,0.02390286755933195,0.021671167074012707,0.3903909250533721
14,0.2222,phase,0.10093816686133862,0.013646316579332856,0.017370683076774984,0.033914558004139256,0.41326407306179225
15,0.2381,phase,0.09908739340656877,0.013076924370444467,0.01519330882015079,0.04045456742078619,0.4007212474566699
16,0.254,phase,0.11461910079269604,0.017373020643444117,0.024544048442091244,0.03128751898603935,0.4712920447234355
17,0.2698,phase,0.1155403051147106,0.01645406681471311,0.040308105940179396,0.023686202636259614,0.47771652868754955
18,0.2857,phase,0.12053853346031662,0.019028682745295507,0.04463833289749355,0.024598764589004035,0.5087475341436065
19,0.3016,phase,0.1111247733501384,0.01576346980099741,0.03594155630901747,0.022944040131541093,0.4543100108956859
20,0.3175,phase,0.11610603280295802,0.01842953166302836,0.02661148473153244,0.03000887915233663,0.48195762353713634
21,0.3333,phase,0.1183954350133466,0.01906236064173552,0.0357200657568264,0.025542801518596517,0.514871445409913
22,0.3492,phase,0.11823365631880385,0.019056273793621945,0.024975388496779678,0.032319102931474025,0.5267578121142203
23,0.3651,phase,0.12018361505622516,0.018951310713110535,0.02594724487928921,0.032877004733538745,0.5602089699068008
24,0.381,phase,0.1214546702982787,0.021973276472174556,0.024918047511868144,0.03409594726110997,0.5351398859570589
25,0.3968,phase,0.12956483036293825,0.024146608082661374,0.032312436979093834,0.031762241696855244,0.5838110584018786
26,0.4127,phase,0.10646361607348837,0.015768043481516718,0.017600020556967088,0.04156492085622012,0.4654655547729763
27,0.4286,phase,0.1125500086578007,0.01681676179998873,0.030077433539008627,0.026752007903908977,0.47628313203685213
28,0.4444,phase,0.10962468139364961,0.015348519153780427,0.052320298913930446,0.02265811575042632,0.4810273853092303
29,0.4603,phase,0.10213671993647917,0.015162094581372795,0.028500138733933065,0.025260121560080943,0.4314563300400228
30,0.4762,phase,0.10031766053216971,0.012976014698919614,0.01639455215650336,0.041891219875507785,0.448393685363659
31,0.4921,phase,0.09370581013766115,0.01274245511444435,0.020142094369641362,0.02895537910127607,0.40634166049604853
32,0.5079,phase,0.08994440376492469,0.01078434426241503,0.033399640006537244,0.020001848285187005,0.4205904385475237
33,0.5238,phase,0.10695597809435198,0.01578545271218857,0.036112813399107116,0.023580663231257903,0.444141534073101
34,0.5397,phase,0.12320148998388891,0.021217410361444984,0.03602635798274975,0.0285166285746557,0.5487228990127976
35,0.5556,phase,0.09903553484690825,0.015060022058113607,0.02016324983826645,0.030268616316285177,0.4819862931784204
36,0.5714,phase,0.11102813905342104,0.019367362124683898,0.026496291149253656,0.02861911636179729,0.5240677508217816
37,0.5873,phase,0.1149956291047545,0.02108349480427414,0.023964195172260158,0.0329108425844877,0.5478885004820815
38,0.6032,phase,0.12095366769898476,0.022195686278576824,0.03221904796553851,0.028178270882379834,0.5881925791702438
39,0.619,phase,0.11927022167473988,0.02130061151680473,0.02650004780366537,0.03260139774236527,0.5801382267389543
40,0.6349,phase,0.11362784027675932,0.019695025851737775,0.039585364778304974,0.023353348439747016,0.5361889346295517
41,0.6508,phase,0.1279491667895049,0.02629499480360091,0.03503425904272065,0.030163927375225195,0.5861341363415414
42,0.6667,phase,0.12736602972441619,0.025430896464863937,0.042170691442352116,0.026765160287193716,0.570088204396922
43,0.6825,phase,0.1204225686189882,0.022764861597805414,0.03595219815466653,0.02597159640561411,0.5327646276615722
44,0.6984,phase,0.11660029663617458,0.020724309065176798,0.02476748502040531,0.03360420516479671,0.4950274820545807
45,0.7143,phase,0.12226990052099304,0.024016101166836674,0.03204995734313077,0.029496375637529906,0.518034067846531
