a,b,c,quintic,gamma,lam,tau,n_med,big_med,life_med,n_tracks,lam_end,seed_dist,ov0,ov1,U0,U1,U2,U3,U4
0.5,1.0,1.0,False,0.05,0.0,200.0,1.0,0.36025,21.0,2,8.0,16.489156401655105,0.20858112454865205,-0.01515500543513675,True,False,False,True,False
0.5,1.0,1.0,False,0.05,0.0,20.0,1.0,0.36025,21.0,2,8.0,16.489156401655105,0.20858112454865205,-0.01515500543513675,True,False,False,True,False
0.5,1.0,1.0,False,0.05,0.0,5.0,1.0,0.36025,21.0,2,8.0,16.489156401655105,0.20858112454865205,-0.01515500543513675,True,False,False,True,False
0.5,1.0,1.0,False,0.05,-0.5,200.0,1.0,0.35490625,4.0,5,8.0,16.566580760069826,0.21608301368648786,-0.021283924325042315,True,False,False,True,False
0.5,1.0,1.0,False,0.05,-0.5,20.0,2.0,0.324265625,1.0,11,8.0,16.555360946807408,0.23927837433215507,-0.01469083738104255,True,False,False,True,False
0.5,1.0,1.0,False,0.05,-0.5,5.0,3.0,0.293203125,1.0,61,8.0,16.740577312939454,0.2594028009227369,-0.014244015943487127,True,False,False,True,False
0.5,1.0,1.0,False,0.05,-1.0,200.0,3.0,0.350578125,5.5,8,8.0,16.408278049386062,0.23146859536061004,0.003138275822512661,True,False,False,True,False
0.5,1.0,1.0,False,0.05,-1.0,20.0,2.0,0.28259375,1.0,42,8.0,16.150323208849162,0.2791340790813366,0.021236369304509676,True,False,False,True,False
0.5,1.0,1.0,False,0.05,-1.0,5.0,6.0,0.255890625,1.0,233,8.0,11.968009526118536,0.2647853757649717,-0.019094386663414304,False,False,False,True,False
0.5,1.0,1.0,False,0.05,-2.0,200.0,1.0,0.31946875,2.0,8,8.0,16.290410969738232,0.21516509551654556,0.0032562406194169544,True,False,False,True,False
0.5,1.0,1.0,False,0.05,-2.0,20.0,8.0,0.223390625,1.0,250,8.0,13.874436925511608,0.26254881048996304,0.002457369271711506,False,False,False,True,False
0.5,1.0,1.0,False,0.05,-2.0,5.0,19.0,0.20371875,1.0,662,8.0,10.978754840656551,0.3126779996059193,-0.005746563409693084,False,False,False,False,False
-0.05,1.0,1.0,True,0.02,0.0,200.0,0.0,0.0,0.0,1,40.0,1.8744360021099238,0.9991753931759086,0.13888592630274824,False,False,False,False,False
-0.05,1.0,1.0,True,0.05,0.0,200.0,0.0,0.0,0.0,1,40.0,0.9628189299753258,0.9997757659980251,0.25420349460378094,False,False,False,False,True
-0.1,1.0,1.0,True,0.02,0.0,200.0,0.0,0.0,0.0,1,20.0,10.640884877880927,0.9991758052601238,-0.011130780352837464,False,False,False,False,False
-0.1,1.0,1.0,True,0.05,0.0,200.0,0.0,0.0,0.0,1,20.0,inf,0.9997755332368377,0.026078396336459152,False,False,False,False,False
-0.3,1.0,1.0,True,0.02,0.0,200.0,0.0,0.0,0.0,1,5.0,inf,0.9991681376196425,-0.02587493657694598,False,False,False,False,False
-0.3,1.0,1.0,True,0.05,0.0,200.0,0.0,0.0,0.0,1,2.1052631578947367,inf,0.9997734560426805,0.06011314131567173,False,False,False,False,False
